Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,JNJ,KO,NVDA,^GSPC,JNJ,KO,NVDA,^GSPC,JNJ,KO,NVDA,^GSPC,JNJ,KO,NVDA,^GSPC,JNJ,KO,NVDA,^GSPC
Date,,,,,,,,,,,,,,,,,,,,
2022-03-09,152.56736755371094,52.692840576171875,22.974699020385742,4277.8798828125,153.35109962938128,53.479301850070854,23.180346610441433,4299.39990234375,151.24312206637532,52.424729785519446,22.209008625290192,4223.10009765625,153.1529122948258,53.46142734279887,22.348768938523044,4223.10009765625,7248200,23022700,492742000,5662670000
2022-03-10,152.83763122558594,51.72764205932617,22.619306564331055,4259.52001953125,153.27903724426486,52.42473081049426,22.749083717994683,4268.27978515625,151.41429200609954,51.388033232945986,21.844630809621485,4209.7998046875,151.8466945076436,52.263863651114896,22.492522642258592,4252.5498046875,6171400,20887300,428066000,4980830000
2022-03-11,152.55838012695312,51.76338577270508,22.062257766723633,4204.31005859375,154.45916703915054,52.59453159603762,23.1054731808181,4291.009765625,152.2610990937664,51.709765661014984,22.00834913546275,4200.490234375,152.3601927714953,51.79913478664088,22.982682144764425,4279.5,5188000,19855600,367209000,4938640000
2022-03-14,154.6663818359375,52.71797180175781,21.2935733795166,4173.10986328125,156.85543285641947,53.168244871259716,22.223980954066924,4247.56982421875,153.45925048112446,52.20466077735051,21.122865878879807,4161.72021484375,153.7565178144637,52.20466077735051,21.831652454533078,4202.75,7729500,17799400,385354000,5574920000
2022-03-15,158.6751251220703,53.690555572509766,22.933765411376953,4262.4501953125,159.01745124070442,53.93370342292696,22.998654935053242,4271.0498046875,155.4410890139945,53.11420663906631,21.285585981092236,4187.89990234375,156.14374828689597,53.204263306985986,21.481250391813667,4188.81982421875,10554400,18607200,491996000,5392470000
2022-03-16,157.2157745361328,53.546470642089844,24.454164505004883,4357.85986328125,159.40482548323024,53.97873236076327,24.554991843395786,4358.89990234375,155.45010890426877,52.78100782605976,23.13242630819987,4251.990234375,158.06257265825994,53.834645121205455,23.45986524600756,4288.14013671875,9603300,17347300,671422000,6309750000
2022-03-17,159.2696990966797,54.11381149291992,24.723711013793945,4411.669921875,159.3057269164665,54.15883810770131,24.79957954747484,4412.669921875,156.9274921814726,53.3393413515622,23.865178916559408,4335.64990234375,157.83735614458976,53.546466527804995,24.07881419681863,4345.10986328125,7472100,15586200,471941000,4985090000
2022-03-18,157.50405883789062,54.1228141784668,26.407825469970703,4463.1201171875,159.44989131908937,54.3029240686989,26.52362850461365,4465.39990234375,156.4410661604294,53.771601781934926,24.581950275359183,4390.56982421875,159.44989131908937,54.3029240686989,24.756650667159146,4407.33984375,13809500,30197800,730719000,8278430000
2022-03-21,158.39588928222656,54.555076599121094,26.688344955444336,4461.18017578125,159.59401713630754,55.02335748119976,27.1056322996586,4481.75,157.03561560747926,54.257894779595134,25.9226545818627,4424.2998046875,157.34190021040288,54.48303127245652,26.46173332477092,4462.39990234375,7574900,17440100,591727000,4869820000
2022-03-22,157.64816284179688,54.753196716308594,26.47870445251465,4511.60986328125,158.88231834652169,54.88827999192134,27.191485837108747,4522.0,156.66624329795263,54.08679459273876,26.02747667962691,4469.10009765625,158.39586720648887,54.87026865948561,26.681356900710014,4469.10009765625,8442100,17559500,547007000,4754840000
2022-03-23,157.05360412597656,54.392982482910156,25.590221405029297,4456.240234375,158.1346173737705,54.9152974025602,26.56654985025248,4501.06982421875,156.82839245994327,54.032762690846965,25.531322153740494,4455.81005859375,157.8553571072219,54.70817222448255,26.081379810961344,4493.10009765625,5254200,15529200,502120000,4550670000
2022-03-24,157.86441040039062,54.9152946472168,28.1019287109375,4520.16015625,158.13465346464443,54.951317311677805,28.271638483214783,4520.580078125,156.8104212123037,54.447010315154756,25.862758984102292,4465.169921875,157.64820220315522,54.609108869918934,26.121317474462384,4469.97998046875,5012300,13151300,877379000,4131390000
2022-03-25,159.3778076171875,55.41059494018555,27.644710540771484,4543.06005859375,160.08046699247026,55.48264026999199,28.30957359578067,4546.02978515625,157.84637086966944,54.97833326727811,27.224429943545722,4501.06982421875,158.26976994783095,55.04137121320355,27.838379495828804,4522.91015625,4809500,12259800,579016000,4305020000
2022-03-28,160.19761657714844,55.761802673339844,28.170808792114258,4575.52001953125,160.5129047657089,55.779814004285804,28.20175598887805,4575.64990234375,158.86436692492515,55.12241588365366,27.159538258056838,4517.68994140625,159.1346100163102,55.41059030816884,27.7086001365783,4541.08984375,5604200,11485200,425494000,4312260000
2022-03-29,160.1165008544922,55.97793960571289,28.60706329345703,4631.60009765625,161.6118959618638,56.31114066610649,28.896567060285996,4637.2998046875,159.26970273892425,55.59971193207319,27.932217127992292,4589.66015625,160.90923662039893,56.02296621895899,28.64599625005715,4602.85986328125,5933400,14720600,488984000,5085910000
2022-03-30,161.78305053710938,56.022972106933594,27.642715454101562,4602.4501953125,162.02628298739907,56.022972106933594,28.447338837185015,4627.77001953125,160.06243009446666,55.43761920259335,27.456034512154393,4581.31982421875,160.74708236256666,55.84286219970939,28.25566727133336,4624.2001953125,6277600,13641000,463487000,4385570000
2022-03-31,159.65704345703125,55.8338508605957,27.239402770996094,4530.41015625,162.34157629580673,56.41019973918446,28.199759848995615,4603.06982421875,159.43183180084174,55.8338508605957,27.22343125201627,4530.41015625,161.7830420412933,56.03197207585195,27.734556037108018,4599.02001953125,11490400,16822900,523440000,4823020000
2022-04-01,160.5218963623047,56.61732482910156,26.666385650634766,4545.85986328125,160.73809080083936,56.689370156486625,27.449047263880143,4548.7001953125,158.18870640757456,55.91490006364865,26.222145851142127,4507.56982421875,159.49493154177043,56.13103261049355,27.328253597824915,4540.31982421875,6525600,12644900,517235000,4562940000
2022-04-04,158.97239685058594,56.32015609741211,27.313278198242188,4582.64013671875,160.5218540656915,56.54529263112228,27.51094002983232,4583.5,158.1165953499449,55.5817085416676,26.56755410197447,4539.2099609375,160.5218540656915,56.37418666690359,26.682357489080253,4547.97021484375,6860600,11505800,397120000,4547350000
